PASS:  41100 ns,      mode = 1,   i_adc_raw:    5, s_offset: 4, o_result:         1
PASS:  245910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  245950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  245990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  246990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
